temperatura,humedadRelativa,puntoRocio,velocidadViento,direccionViento,velocidadRacha,direccionRacha,presionBar,lluvia,fechaHora,idEstacion,radSol
15.7,38,1.4,1.6,360.0,4.8,360.0,1022.5,0.0,05/04/23 00:05,TLAS,0
15.8,37,1.2,0.0,9999.0,0.0,9999.0,1022.5,0.0,05/04/23 00:10,TLAS,0
15.9,37,1.3,0.0,9999.0,0.0,9999.0,1022.5,0.0,05/04/23 00:15,TLAS,0
15.9,39,2.0,1.6,360.0,3.2,360.0,1022.5,0.0,05/04/23 00:20,TLAS,0
15.8,40,2.2,1.6,360.0,3.2,360.0,1022.5,0.0,05/04/23 00:25,TLAS,0
15.7,40,2.1,3.2,360.0,6.4,360.0,1022.4,0.0,05/04/23 00:30,TLAS,0
15.9,40,2.3,3.2,360.0,4.8,360.0,1022.3,0.0,05/04/23 00:35,TLAS,0
15.9,42,3.0,1.6,360.0,4.8,360.0,1022.3,0.0,05/04/23 00:40,TLAS,0
15.4,42,2.5,1.6,360.0,4.8,360.0,1022.2,0.0,05/04/23 00:45,TLAS,0
15.1,43,2.6,1.6,360.0,4.8,360.0,1022.3,0.0,05/04/23 00:50,TLAS,0
14.9,45,3.1,1.6,360.0,3.2,360.0,1022.1,0.0,05/04/23 00:55,TLAS,0
14.6,51,4.5,1.6,360.0,3.2,360.0,1022.2,0.0,05/04/23 01:00,TLAS,0
13.9,54,4.7,1.6,360.0,3.2,360.0,1022.0,0.0,05/04/23 01:05,TLAS,0
13.6,54,4.4,0.0,9999.0,0.0,9999.0,1021.9,0.0,05/04/23 01:10,TLAS,0
13.4,55,4.6,0.0,360.0,1.6,360.0,1021.8,0.0,05/04/23 01:15,TLAS,0
13.4,51,3.5,1.6,360.0,3.2,360.0,1021.7,0.0,05/04/23 01:20,TLAS,0
13.6,52,3.9,1.6,360.0,4.8,360.0,1021.7,0.0,05/04/23 01:25,TLAS,0
13.9,49,3.3,3.2,360.0,6.4,360.0,1021.6,0.0,05/04/23 01:30,TLAS,0
14.2,49,3.6,3.2,360.0,4.8,360.0,1021.6,0.0,05/04/23 01:35,TLAS,0
14.3,49,3.7,1.6,360.0,4.8,360.0,1021.7,0.0,05/04/23 01:40,TLAS,0
14.3,49,3.7,0.0,360.0,3.2,360.0,1021.6,0.0,05/04/23 01:45,TLAS,0
14.2,53,4.7,0.0,360.0,1.6,360.0,1021.6,0.0,05/04/23 01:50,TLAS,0
13.9,53,4.5,0.0,360.0,3.2,360.0,1021.4,0.0,05/04/23 01:55,TLAS,0
13.7,56,5.0,0.0,360.0,3.2,360.0,1021.4,0.0,05/04/23 02:00,TLAS,0
13.4,55,4.6,0.0,9999.0,0.0,9999.0,1021.5,0.0,05/04/23 02:05,TLAS,0
13.3,57,5.0,0.0,9999.0,0.0,9999.0,1021.4,0.0,05/04/23 02:10,TLAS,0
13.3,58,5.2,0.0,360.0,3.2,360.0,1021.3,0.0,05/04/23 02:15,TLAS,0
13.2,53,3.8,0.0,360.0,3.2,360.0,1021.2,0.0,05/04/23 02:20,TLAS,0
13.0,51,3.1,0.0,9999.0,0.0,9999.0,1021.1,0.0,05/04/23 02:25,TLAS,0
12.9,55,4.1,0.0,9999.0,0.0,9999.0,1021.1,0.0,05/04/23 02:30,TLAS,0
12.8,53,3.4,0.0,9999.0,0.0,9999.0,1021.2,0.0,05/04/23 02:35,TLAS,0
12.7,53,3.4,0.0,9999.0,0.0,9999.0,1021.2,0.0,05/04/23 02:40,TLAS,0
12.7,54,3.6,0.0,9999.0,0.0,9999.0,1021.2,0.0,05/04/23 02:45,TLAS,0
12.6,55,3.8,0.0,9999.0,0.0,9999.0,1021.0,0.0,05/04/23 02:50,TLAS,0
12.5,57,4.2,0.0,9999.0,0.0,9999.0,1021.1,0.0,05/04/23 02:55,TLAS,0
12.4,60,4.9,0.0,9999.0,0.0,9999.0,1021.1,0.0,05/04/23 03:00,TLAS,0
12.4,59,4.6,0.0,360.0,1.6,360.0,1021.2,0.0,05/04/23 03:05,TLAS,0
12.3,59,4.5,0.0,9999.0,0.0,9999.0,1021.1,0.0,05/04/23 03:10,TLAS,0
12.4,61,5.1,0.0,9999.0,0.0,9999.0,1020.9,0.0,05/04/23 03:15,TLAS,0
12.5,60,4.9,0.0,9999.0,0.0,9999.0,1020.9,0.0,05/04/23 03:20,TLAS,0
12.6,61,5.2,0.0,9999.0,0.0,9999.0,1020.9,0.0,05/04/23 03:25,TLAS,0
12.6,62,5.5,0.0,360.0,1.6,360.0,1020.9,0.0,05/04/23 03:30,TLAS,0
12.4,65,6.0,0.0,9999.0,0.0,9999.0,1021.0,0.0,05/04/23 03:35,TLAS,0
12.2,61,4.9,0.0,9999.0,0.0,9999.0,1021.0,0.0,05/04/23 03:40,TLAS,0
12.1,59,4.3,1.6,360.0,4.8,360.0,1021.0,0.0,05/04/23 03:45,TLAS,0
12.3,55,3.5,4.8,360.0,6.4,360.0,1020.9,0.0,05/04/23 03:50,TLAS,0
12.8,51,2.9,4.8,360.0,8.0,360.0,1020.7,0.0,05/04/23 03:55,TLAS,0
13.2,48,2.4,4.8,360.0,8.0,360.0,1020.7,0.0,05/04/23 04:00,TLAS,0
13.4,47,2.3,4.8,360.0,8.0,360.0,1020.7,0.0,05/04/23 04:05,TLAS,0
13.6,46,2.2,6.4,360.0,12.9,360.0,1020.9,0.0,05/04/23 04:10,TLAS,0
13.7,46,2.2,4.8,360.0,9.7,360.0,1020.9,0.0,05/04/23 04:15,TLAS,0
13.7,46,2.2,4.8,360.0,9.7,360.0,1020.9,0.0,05/04/23 04:20,TLAS,0
13.7,46,2.2,3.2,360.0,6.4,360.0,1021.0,0.0,05/04/23 04:25,TLAS,0
13.6,47,2.5,3.2,360.0,4.8,360.0,1020.9,0.0,05/04/23 04:30,TLAS,0
13.6,48,2.8,1.6,360.0,4.8,360.0,1021.0,0.0,05/04/23 04:35,TLAS,0
13.5,48,2.7,3.2,360.0,4.8,360.0,1021.0,0.0,05/04/23 04:40,TLAS,0
13.4,50,3.2,3.2,360.0,4.8,360.0,1021.0,0.0,05/04/23 04:45,TLAS,0
13.4,51,3.4,1.6,360.0,4.8,360.0,1021.0,0.0,05/04/23 04:50,TLAS,0
13.3,51,3.3,1.6,360.0,3.2,360.0,1021.1,0.0,05/04/23 04:55,TLAS,0
13.1,52,3.5,0.0,360.0,3.2,360.0,1021.1,0.0,05/04/23 05:00,TLAS,0
12.8,53,3.5,0.0,360.0,3.2,360.0,1021.1,0.0,05/04/23 05:05,TLAS,0
12.5,53,3.2,1.6,360.0,3.2,360.0,1021.3,0.0,05/04/23 05:10,TLAS,0
12.2,54,3.2,1.6,360.0,3.2,360.0,1021.4,0.0,05/04/23 05:15,TLAS,0
11.9,56,3.4,1.6,360.0,3.2,360.0,1021.4,0.0,05/04/23 05:20,TLAS,0
11.6,59,3.8,1.6,360.0,3.2,360.0,1021.6,0.0,05/04/23 05:25,TLAS,0
11.3,59,3.6,0.0,360.0,1.6,360.0,1021.6,0.0,05/04/23 05:30,TLAS,0
11.2,60,3.7,0.0,9999.0,0.0,9999.0,1021.6,0.0,05/04/23 05:35,TLAS,0
11.2,62,4.2,0.0,9999.0,0.0,9999.0,1021.8,0.0,05/04/23 05:40,TLAS,0
11.1,62,4.0,0.0,360.0,1.6,360.0,1021.9,0.0,05/04/23 05:45,TLAS,0
11.1,61,3.8,0.0,360.0,3.2,360.0,1021.9,0.0,05/04/23 05:50,TLAS,0
11.1,61,3.8,0.0,360.0,1.6,360.0,1021.9,0.0,05/04/23 05:55,TLAS,0
11.0,60,3.5,0.0,360.0,3.2,360.0,1021.9,0.0,05/04/23 06:00,TLAS,0
11.1,61,3.8,0.0,9999.0,0.0,9999.0,1021.9,0.0,05/04/23 06:05,TLAS,0
11.0,61,3.8,0.0,9999.0,0.0,9999.0,1022.0,0.0,05/04/23 06:10,TLAS,0
10.9,61,3.7,0.0,9999.0,0.0,9999.0,1022.2,0.0,05/04/23 06:15,TLAS,0
10.8,62,3.8,0.0,9999.0,0.0,9999.0,1022.3,0.0,05/04/23 06:20,TLAS,0
10.7,63,4.0,0.0,360.0,1.6,360.0,1022.4,0.0,05/04/23 06:25,TLAS,0
10.7,62,3.7,0.0,360.0,1.6,360.0,1022.4,0.0,05/04/23 06:30,TLAS,2
10.8,61,3.6,0.0,360.0,1.6,360.0,1022.4,0.0,05/04/23 06:35,TLAS,6
10.7,61,3.5,1.6,360.0,3.2,360.0,1022.4,0.0,05/04/23 06:40,TLAS,7
10.4,65,4.1,1.6,360.0,3.2,360.0,1022.5,0.0,05/04/23 06:45,TLAS,10
10.0,67,4.1,0.0,360.0,1.6,360.0,1022.6,0.0,05/04/23 06:50,TLAS,15
9.8,68,4.1,1.6,360.0,3.2,360.0,1022.7,0.0,05/04/23 06:55,TLAS,19
9.7,67,3.9,0.0,360.0,3.2,360.0,1022.6,0.0,05/04/23 07:00,TLAS,33
9.9,67,4.1,1.6,360.0,3.2,360.0,1022.8,0.0,05/04/23 07:05,TLAS,46
10.2,66,4.1,0.0,360.0,1.6,360.0,1022.9,0.0,05/04/23 07:10,TLAS,62
10.4,65,4.1,0.0,360.0,3.2,360.0,1022.8,0.0,05/04/23 07:15,TLAS,77
10.8,64,4.3,1.6,360.0,3.2,360.0,1022.8,0.0,05/04/23 07:20,TLAS,93
11.3,63,4.5,0.0,360.0,1.6,360.0,1022.6,0.0,05/04/23 07:25,TLAS,109
11.8,62,4.7,0.0,360.0,1.6,360.0,1022.7,0.0,05/04/23 07:30,TLAS,124
12.2,59,4.4,0.0,9999.0,0.0,9999.0,1022.9,0.0,05/04/23 07:35,TLAS,138
12.7,58,4.7,0.0,9999.0,0.0,9999.0,1022.9,0.0,05/04/23 07:40,TLAS,156
13.3,58,5.2,0.0,9999.0,0.0,9999.0,1023.1,0.0,05/04/23 07:45,TLAS,170
13.9,57,5.6,0.0,9999.0,0.0,9999.0,1023.1,0.0,05/04/23 07:50,TLAS,179
14.9,52,5.1,1.6,360.0,3.2,360.0,1023.1,0.0,05/04/23 07:55,TLAS,179
15.8,49,5.1,1.6,360.0,4.8,360.0,1023.3,0.0,05/04/23 08:00,TLAS,183
16.5,47,5.1,0.0,360.0,3.2,360.0,1023.4,0.0,05/04/23 08:05,TLAS,199
17.1,44,4.7,3.2,360.0,4.8,360.0,1023.5,0.0,05/04/23 08:10,TLAS,215
17.5,43,4.8,3.2,360.0,4.8,360.0,1023.5,0.0,05/04/23 08:15,TLAS,228
17.8,42,4.7,1.6,360.0,4.8,360.0,1023.5,0.0,05/04/23 08:20,TLAS,227
18.2,41,4.7,4.8,360.0,6.4,360.0,1023.2,0.0,05/04/23 08:25,TLAS,223
18.3,40,4.5,3.2,360.0,6.4,360.0,1023.3,0.0,05/04/23 08:30,TLAS,227
18.6,40,4.7,3.2,360.0,8.0,360.0,1023.4,0.0,05/04/23 08:35,TLAS,245
18.7,40,4.8,4.8,360.0,8.0,360.0,1023.2,0.0,05/04/23 08:40,TLAS,269
18.8,39,4.6,3.2,360.0,4.8,360.0,1023.3,0.0,05/04/23 08:45,TLAS,292
19.2,39,4.9,3.2,360.0,4.8,360.0,1023.3,0.0,05/04/23 08:50,TLAS,316
19.4,38,4.7,4.8,90.0,6.4,67.5,1023.4,0.0,05/04/23 08:55,TLAS,335
19.6,37,4.5,3.2,45.0,8.0,45.0,1023.4,0.0,05/04/23 09:00,TLAS,344
19.7,37,4.6,1.6,22.5,8.0,45.0,1023.4,0.0,05/04/23 09:05,TLAS,350
20.2,36,4.6,3.2,360.0,6.4,360.0,1023.2,0.0,05/04/23 09:10,TLAS,356
20.6,36,5.0,3.2,360.0,6.4,360.0,1023.4,0.0,05/04/23 09:15,TLAS,364
20.9,35,4.8,3.2,22.5,8.0,360.0,1023.3,0.0,05/04/23 09:20,TLAS,375
21.2,35,5.1,4.8,45.0,8.0,360.0,1023.5,0.0,05/04/23 09:25,TLAS,389
21.3,34,4.8,4.8,45.0,11.3,22.5,1023.4,0.0,05/04/23 09:30,TLAS,414
21.4,34,4.9,4.8,360.0,8.0,45.0,1023.4,0.0,05/04/23 09:35,TLAS,443
21.7,32,4.3,3.2,360.0,6.4,360.0,1023.5,0.0,05/04/23 09:40,TLAS,462
22.2,32,4.7,3.2,360.0,4.8,360.0,1023.6,0.0,05/04/23 09:45,TLAS,487
22.7,31,4.7,3.2,90.0,8.0,45.0,1023.3,0.0,05/04/23 09:50,TLAS,561
23.0,30,4.5,3.2,135.0,6.4,157.5,1023.3,0.0,05/04/23 09:55,TLAS,619
23.3,29,4.2,3.2,45.0,6.4,67.5,1023.3,0.0,05/04/23 10:00,TLAS,656
23.8,29,4.7,3.2,135.0,9.7,360.0,1023.3,0.0,05/04/23 10:05,TLAS,672
24.0,28,4.4,3.2,22.5,9.7,360.0,1023.2,0.0,05/04/23 10:10,TLAS,686
24.3,26,3.6,4.8,22.5,12.9,360.0,1023.3,0.0,05/04/23 10:15,TLAS,702
24.4,27,4.2,3.2,112.5,6.4,135.0,1023.2,0.0,05/04/23 10:20,TLAS,714
24.3,27,4.1,4.8,22.5,8.0,22.5,1023.1,0.0,05/04/23 10:25,TLAS,726
24.1,27,3.9,6.4,337.5,9.7,337.5,1023.0,0.0,05/04/23 10:30,TLAS,738
24.1,27,3.9,3.2,270.0,11.3,45.0,1022.8,0.0,05/04/23 10:35,TLAS,749
24.6,26,3.8,4.8,45.0,19.3,292.5,1022.8,0.0,05/04/23 10:40,TLAS,752
24.8,26,4.0,8.0,360.0,19.3,315.0,1022.8,0.0,05/04/23 10:45,TLAS,776
24.8,25,3.5,1.6,315.0,4.8,315.0,1022.8,0.0,05/04/23 10:50,TLAS,781
25.1,25,3.7,1.6,270.0,4.8,270.0,1022.8,0.0,05/04/23 10:55,TLAS,778
25.6,25,4.1,6.4,360.0,16.1,22.5,1022.8,0.0,05/04/23 11:00,TLAS,794
25.7,24,3.6,8.0,247.5,14.5,292.5,1022.8,0.0,05/04/23 11:05,TLAS,797
25.4,24,3.4,8.0,292.5,16.1,315.0,1022.8,0.0,05/04/23 11:10,TLAS,798
25.4,24,3.4,8.0,292.5,16.1,292.5,1022.7,0.0,05/04/23 11:15,TLAS,798
25.6,24,3.5,8.0,360.0,17.7,292.5,1022.7,0.0,05/04/23 11:20,TLAS,808
25.7,23,3.0,4.8,337.5,12.9,22.5,1022.5,0.0,05/04/23 11:25,TLAS,819
25.9,23,3.2,3.2,45.0,12.9,22.5,1022.6,0.0,05/04/23 11:30,TLAS,836
26.5,22,3.0,3.2,180.0,6.4,135.0,1022.5,0.0,05/04/23 11:35,TLAS,852
27.1,21,2.8,6.4,180.0,12.9,90.0,1022.4,0.0,05/04/23 11:40,TLAS,867
27.3,20,2.3,4.8,135.0,11.3,135.0,1022.3,0.0,05/04/23 11:45,TLAS,874
27.2,21,3.0,3.2,225.0,6.4,202.5,1022.3,0.0,05/04/23 11:50,TLAS,873
27.7,20,2.7,4.8,90.0,11.3,67.5,1022.3,0.0,05/04/23 11:55,TLAS,878
27.7,20,2.7,3.2,315.0,6.4,337.5,1022.3,0.0,05/04/23 12:00,TLAS,887
27.8,20,2.8,4.8,292.5,11.3,270.0,1022.1,0.0,05/04/23 12:05,TLAS,882
27.8,20,2.8,6.4,337.5,12.9,22.5,1022.0,0.0,05/04/23 12:10,TLAS,870
27.5,20,2.5,8.0,360.0,14.5,360.0,1021.9,0.0,05/04/23 12:15,TLAS,878
27.3,20,2.4,11.3,360.0,19.3,45.0,1021.7,0.0,05/04/23 12:20,TLAS,887
27.3,20,2.4,4.8,45.0,11.3,45.0,1021.8,0.0,05/04/23 12:25,TLAS,888
27.6,17,0.3,4.8,22.5,17.7,22.5,1021.6,0.0,05/04/23 12:30,TLAS,902
27.8,17,0.5,6.4,337.5,12.9,337.5,1021.4,0.0,05/04/23 12:35,TLAS,927
27.9,17,0.6,4.8,337.5,9.7,292.5,1021.3,0.0,05/04/23 12:40,TLAS,928
28.3,14,-1.8,4.8,315.0,12.9,360.0,1021.2,0.0,05/04/23 12:45,TLAS,919
28.8,15,-0.4,4.8,22.5,14.5,45.0,1021.1,0.0,05/04/23 12:50,TLAS,925
28.8,15,-0.4,6.4,22.5,16.1,45.0,1021.0,0.0,05/04/23 12:55,TLAS,922
28.6,16,0.3,9.7,45.0,16.1,45.0,1020.9,0.0,05/04/23 13:00,TLAS,911
28.4,16,0.2,4.8,67.5,14.5,67.5,1020.7,0.0,05/04/23 13:05,TLAS,907
28.9,15,-0.4,4.8,45.0,12.9,67.5,1020.6,0.0,05/04/23 13:10,TLAS,897
29.3,15,-0.0,4.8,45.0,16.1,67.5,1020.5,0.0,05/04/23 13:15,TLAS,880
29.6,15,0.2,8.0,67.5,19.3,90.0,1020.6,0.0,05/04/23 13:20,TLAS,888
29.9,16,1.3,8.0,45.0,17.7,45.0,1020.4,0.0,05/04/23 13:25,TLAS,883
29.6,16,1.1,11.3,90.0,20.9,90.0,1020.4,0.0,05/04/23 13:30,TLAS,876
29.1,17,1.6,11.3,67.5,20.9,90.0,1020.0,0.0,05/04/23 13:35,TLAS,877
29.0,15,-0.3,12.9,67.5,27.4,67.5,1019.9,0.0,05/04/23 13:40,TLAS,875
28.9,14,-1.3,11.3,67.5,22.5,90.0,1019.8,0.0,05/04/23 13:45,TLAS,876
29.3,14,-1.0,14.5,67.5,30.6,67.5,1019.6,0.0,05/04/23 13:50,TLAS,872
29.8,10,-5.1,16.1,90.0,27.4,22.5,1019.4,0.0,05/04/23 13:55,TLAS,904
29.9,13,-1.5,8.0,135.0,20.9,157.5,1019.5,0.0,05/04/23 14:00,TLAS,884
30.1,10,-4.9,9.7,135.0,24.1,202.5,1019.3,0.0,05/04/23 14:05,TLAS,843
30.4,8,-7.6,9.7,180.0,22.5,157.5,1019.2,0.0,05/04/23 14:10,TLAS,830
30.6,12,-2.0,11.3,112.5,27.4,112.5,1019.2,0.0,05/04/23 14:15,TLAS,843
30.3,10,-4.8,9.7,202.5,16.1,247.5,1019.2,0.0,05/04/23 14:20,TLAS,847
30.2,6,-11.4,9.7,180.0,24.1,157.5,1019.1,0.0,05/04/23 14:25,TLAS,876
30.2,6,-11.4,9.7,202.5,20.9,202.5,1019.0,0.0,05/04/23 14:30,TLAS,868
30.4,5,-13.5,9.7,202.5,20.9,180.0,1019.0,0.0,05/04/23 14:35,TLAS,854
30.3,7,-9.3,12.9,202.5,24.1,225.0,1019.0,0.0,05/04/23 14:40,TLAS,849
30.4,7,-9.3,11.3,202.5,27.4,180.0,1018.9,0.0,05/04/23 14:45,TLAS,839
30.7,7,-9.1,11.3,180.0,25.7,180.0,1018.9,0.0,05/04/23 14:50,TLAS,817
30.6,6,-11.1,12.9,180.0,29.0,180.0,1018.8,0.0,05/04/23 14:55,TLAS,794
30.4,6,-11.2,14.5,202.5,37.0,225.0,1018.8,0.0,05/04/23 15:00,TLAS,805
30.4,6,-11.3,14.5,202.5,24.1,202.5,1018.6,0.0,05/04/23 15:05,TLAS,804
30.2,5,-13.7,12.9,225.0,24.1,247.5,1018.6,0.0,05/04/23 15:10,TLAS,782
30.2,5,-13.6,14.5,202.5,24.1,202.5,1018.5,0.0,05/04/23 15:15,TLAS,762
30.2,8,-7.7,12.9,202.5,29.0,225.0,1018.5,0.0,05/04/23 15:20,TLAS,739
30.2,7,-9.4,16.1,202.5,25.7,202.5,1018.5,0.0,05/04/23 15:25,TLAS,734
30.0,8,-7.9,12.9,202.5,25.7,225.0,1018.5,0.0,05/04/23 15:30,TLAS,701
29.8,5,-13.9,16.1,202.5,29.0,225.0,1018.7,0.0,05/04/23 15:35,TLAS,667
29.7,9,-6.6,14.5,202.5,27.4,135.0,1018.4,0.0,05/04/23 15:40,TLAS,625
29.7,9,-6.6,12.9,202.5,25.7,225.0,1018.4,0.0,05/04/23 15:45,TLAS,600
29.4,10,-5.4,16.1,202.5,27.4,202.5,1018.4,0.0,05/04/23 15:50,TLAS,600
29.3,10,-5.5,14.5,202.5,25.7,157.5,1018.4,0.0,05/04/23 15:55,TLAS,615
29.2,10,-5.6,12.9,202.5,22.5,180.0,1018.5,0.0,05/04/23 16:00,TLAS,594
29.2,11,-4.3,14.5,180.0,27.4,180.0,1018.5,0.0,05/04/23 16:05,TLAS,548
29.1,10,-5.7,12.9,202.5,24.1,157.5,1018.4,0.0,05/04/23 16:10,TLAS,520
29.0,14,-1.2,12.9,202.5,24.1,157.5,1018.2,0.0,05/04/23 16:15,TLAS,463
28.8,13,-2.4,14.5,180.0,25.7,157.5,1018.3,0.0,05/04/23 16:20,TLAS,470
28.9,11,-4.5,14.5,180.0,27.4,180.0,1018.3,0.0,05/04/23 16:25,TLAS,507
28.8,12,-3.4,14.5,180.0,25.7,157.5,1018.3,0.0,05/04/23 16:30,TLAS,510
28.7,13,-2.5,14.5,180.0,29.0,180.0,1018.3,0.0,05/04/23 16:35,TLAS,494
28.8,13,-2.4,9.7,202.5,20.9,157.5,1018.3,0.0,05/04/23 16:40,TLAS,481
28.9,10,-5.8,12.9,180.0,24.1,157.5,1018.3,0.0,05/04/23 16:45,TLAS,461
28.8,10,-5.8,9.7,157.5,24.1,157.5,1018.4,0.0,05/04/23 16:50,TLAS,437
28.8,10,-5.9,11.3,180.0,27.4,157.5,1018.4,0.0,05/04/23 16:55,TLAS,419
28.6,13,-2.5,11.3,180.0,22.5,202.5,1018.5,0.0,05/04/23 17:00,TLAS,404
28.6,12,-3.6,11.3,157.5,22.5,202.5,1018.4,0.0,05/04/23 17:05,TLAS,387
28.6,13,-2.6,8.0,157.5,20.9,180.0,1018.4,0.0,05/04/23 17:10,TLAS,369
28.6,12,-3.6,11.3,180.0,22.5,180.0,1018.4,0.0,05/04/23 17:15,TLAS,354
28.3,14,-1.7,11.3,180.0,22.5,180.0,1018.3,0.0,05/04/23 17:20,TLAS,330
28.2,13,-2.8,6.4,157.5,20.9,180.0,1018.5,0.0,05/04/23 17:25,TLAS,306
28.2,14,-1.9,9.7,180.0,17.7,180.0,1018.5,0.0,05/04/23 17:30,TLAS,289
28.0,15,-1.1,6.4,157.5,14.5,135.0,1018.4,0.0,05/04/23 17:35,TLAS,270
27.9,12,-4.1,9.7,180.0,19.3,180.0,1018.3,0.0,05/04/23 17:40,TLAS,250
27.7,13,-3.2,9.7,180.0,19.3,90.0,1018.4,0.0,05/04/23 17:45,TLAS,230
27.4,14,-2.4,8.0,157.5,14.5,157.5,1018.4,0.0,05/04/23 17:50,TLAS,209
27.3,15,-1.6,4.8,135.0,17.7,180.0,1018.6,0.0,05/04/23 17:55,TLAS,184
27.2,13,-3.7,6.4,157.5,16.1,157.5,1018.7,0.0,05/04/23 18:00,TLAS,162
27.0,13,-3.8,6.4,360.0,14.5,135.0,1018.7,0.0,05/04/23 18:05,TLAS,142
26.7,15,-2.1,6.4,360.0,16.1,360.0,1018.6,0.0,05/04/23 18:10,TLAS,121
26.3,15,-2.4,6.4,360.0,19.3,202.5,1018.5,0.0,05/04/23 18:15,TLAS,98
26.1,15,-2.6,6.4,360.0,20.9,360.0,1018.7,0.0,05/04/23 18:20,TLAS,79
25.8,18,-0.4,4.8,360.0,11.3,112.5,1018.8,0.0,05/04/23 18:25,TLAS,62
25.6,17,-1.3,4.8,360.0,16.1,180.0,1018.9,0.0,05/04/23 18:30,TLAS,45
25.1,18,-0.9,8.0,360.0,14.5,360.0,1019.2,0.0,05/04/23 18:35,TLAS,33
24.7,18,-1.3,6.4,360.0,19.3,360.0,1019.0,0.0,05/04/23 18:40,TLAS,17
24.3,19,-0.8,3.2,360.0,9.7,180.0,1019.0,0.0,05/04/23 18:45,TLAS,8
23.9,19,-1.2,3.2,360.0,12.9,360.0,1018.9,0.0,05/04/23 18:50,TLAS,5
23.6,19,-1.4,4.8,360.0,9.7,360.0,1019.1,0.0,05/04/23 18:55,TLAS,0
23.3,20,-0.9,1.6,360.0,4.8,360.0,1019.0,0.0,05/04/23 19:00,TLAS,0
23.2,20,-1.0,1.6,360.0,4.8,360.0,1019.4,0.0,05/04/23 19:05,TLAS,0
23.0,21,-0.5,1.6,360.0,4.8,360.0,1019.4,0.0,05/04/23 19:10,TLAS,0
22.8,21,-0.7,3.2,360.0,6.4,360.0,1019.4,0.0,05/04/23 19:15,TLAS,0
22.7,22,-0.1,3.2,360.0,6.4,360.0,1019.5,0.0,05/04/23 19:20,TLAS,0
22.8,22,-0.1,6.4,360.0,9.7,360.0,1019.7,0.0,05/04/23 19:25,TLAS,0
22.8,22,-0.1,4.8,360.0,12.9,360.0,1019.6,0.0,05/04/23 19:30,TLAS,0
22.8,21,-0.7,6.4,360.0,17.7,360.0,1019.7,0.0,05/04/23 19:35,TLAS,0
22.8,21,-0.7,3.2,360.0,8.0,360.0,1019.8,0.0,05/04/23 19:40,TLAS,0
22.6,23,0.4,3.2,360.0,8.0,360.0,1019.9,0.0,05/04/23 19:45,TLAS,0
22.4,20,-1.7,3.2,360.0,9.7,360.0,1020.0,0.0,05/04/23 19:50,TLAS,0
22.3,23,0.1,1.6,360.0,6.4,360.0,1020.1,0.0,05/04/23 19:55,TLAS,0
